episode:680, reward:-0.02137918543815613, actor loss:-0.017327498644590378, critic loss:0.0009570663678459823
episode:690, reward:0.09121891542275748, actor loss:0.0014527934836223722, critic loss:0.002664026338607073
episode:700, reward:0.8776143666251518, actor loss:0.026549091562628746, critic loss:0.0075052352622151375
episode:710, reward:-0.019073065559069315, actor loss:-0.0067994496785104275, critic loss:0.0011905942810699344
episode:720, reward:-0.02188223159313202, actor loss:-0.006941447965800762, critic loss:0.002273142570629716
episode:730, reward:-0.00672654390335083, actor loss:-0.01639387384057045, critic loss:0.0008728725952096283
episode:740, reward:-0.020092381596565245, actor loss:-0.023215845227241516, critic loss:0.0016973016317933798
episode:750, reward:-0.014420332551002503, actor loss:-0.0039114016108214855, critic loss:0.0014624649193137884
episode:760, reward:-0.008079041361808776, actor loss:-0.020513957366347313, critic loss:0.001671278616413474
episode:770, reward:-0.01135529888421297, actor loss:-0.018498295918107033, critic loss:0.0016453741118311882
episode:780, reward:4.052670597104213, actor loss:0.12128764390945435, critic loss:0.03624258562922478
episode:790, reward:-0.021822410345077516, actor loss:-0.031658656895160675, critic loss:0.003153279423713684
episode:800, reward:-0.021579728722572328, actor loss:-0.008653459139168262, critic loss:0.003321681171655655
episode:810, reward:-0.020605765819549562, actor loss:-0.0054949079640209675, critic loss:0.0030495936516672373
episode:820, reward:-0.006759732842445373, actor loss:-0.0034214197658002377, critic loss:0.0011686740908771753
episode:830, reward:4.1127602931539045, actor loss:0.06491191685199738, critic loss:0.037053320556879044
episode:840, reward:-0.021997984170913698, actor loss:-0.026986708864569664, critic loss:0.002480891300365329
episode:850, reward:0.10066804842154184, actor loss:0.012931080535054207, critic loss:0.0031149107962846756
episode:860, reward:4.032676357058667, actor loss:0.41865700483322144, critic loss:0.036862894892692566
episode:870, reward:-0.02199801278114319, actor loss:-0.02874031662940979, critic loss:0.00276178983040154
episode:880, reward:-0.02199999046325684, actor loss:-0.05220688134431839, critic loss:0.0026701311580836773
episode:890, reward:-0.021999835491180418, actor loss:-0.01113803219050169, critic loss:0.0010427142260596156
episode:900, reward:-0.021946884632110593, actor loss:-0.03550291806459427, critic loss:0.0031290161423385143
episode:910, reward:4.033930824903629, actor loss:0.39484915137290955, critic loss:0.036208271980285645
episode:920, reward:4.032805999664447, actor loss:0.3719133138656616, critic loss:0.036248352378606796
